key	value
maid	3
Nina	3
suspected	3
attention	3
signs	3
nobody	3
blind	3
meanwhile	3
popular	3
sign	3
jealous	3
waiting	3
playboy	3
Roger	3
encounters	3
Then	3
badly	3
pretty	3
avoids	3
thing	3
bitter	3
means	3
learning	3
Marge	3
Dick	3
Jones	3
serve	3
cause	3
teller	3
Bruno	3
King	3
Humperdinck	3
warm	3
giving	3
shares	3
Duckie	3
convince	3
producer	3
drops	3
dead	3
brings	3
took	3
wins	3
Viola	3
confides	3
strange	3
crying	3
building	3
goodbye	3
accepting	3
Hell	3
handsome	3
horror	3
Chicago	3
Baldwin	3
cancer	3
bachelor	3
drunk	3
public	3
following	3
poor	3
Will	3
headed	3
lawyer	3
Sylvia	3
lunch	3
unaware	3
whose	3
dog	3
play	3
socially	3
met	3
coming	3
president	3
Dike	3
Clem	3
hearing	3
humans	3
Nat	3
Instead	3
auditions	3
hot	3
intends	3
unable	3
proposes	3
Olivia	3
refusing	3
Nora	3
Prince	3
lost	3
memory	3
kidnapped	3
palace	3
such	3
Nell	3
teacher	3
orders	3
five	3
Set	3
Millie	3
English	3
radio	3
hair	3
discuss	3
people	3
Gleason	3
Griff	3
becoming	3
honeymoon	3
behavior	3
Albert	3
executive	3
catches	3
Amy	3
support	3
betrayed	3
front	3
incident	3
forced	3
returning	3
quits	3
performs	3
sea	3
Pamela	3
Higgins	3
Ashley	3
Chris	3
mysterious	3
reason	3
hides	3
Justine	3
Vince	3
ceremony	3
Andrew	3
Their	3
Bryan	3
Fran	3
ballroom	3
allowing	3
died	3
crush	3
Rudd	3
fact	3
Red	3
Rose	3
chagrin	3
Zooey	3
Marcus	3
Breezy	3
Jason	3
lie	3
wakes	3
window	3
suspects	3
anyone	3
This	3
truck	3
box	3
carriage	3
involved	3
Tyrone	3
special	3
gift	3
standing	3
Gabe	3
guest	3
ball	3
remains	3
Shirley	3
Abby	3
smitten	3
year	3
perfect	3
easily	3
stage	3
suggests	3
Gloria	3
bridal	3
prepare	3
Buttercup	3
recent	3
near	3
Irene	3
Bruce	3
discovered	3
chase	3
performing	3
act	3
MaryAnn	3
afraid	3
formula	3
Christmas	3
close	3
stuck	3
beauty	3
High	3
Simon	3
Carl	3
workers	3
video	3
reads	3
hospital	3
Karl	3
publishing	3
Leo	3
separate	3
states	3
rival	3
team	3
Jesse	3
kind	3
Williams	3
arrogant	3
single	3
Jessica	3
fiancé	3
surrounded	3
Lucy	3
pull	3
Tommy	3
learned	3
Randy	3
sexual	3
Lance	3
dropped	3
stakes	3
romantic	3
sold	3
unexpected	3
expensive	3
Her	3
Luke	3
angry	3
United	3
bus	3
Sandy	3
romance	3
chess	3
clothes	3
bride	3
shocked	3
Louise	3
Noah	3
dream	3
Grigio	3
moment	3
apart	3
tearfully	3
played	3
efforts	3
allows	3
Molly	3
assumes	3
Gerald	3
doctor	3
cynical	3
attorney	3
looks	3
finish	3
Gabriel	3
searching	3
North	3
pay	3
wheelchair	3
struggling	3
Foster	3
Nancy	2
proposal	2
identity	2
beats	2
disguise	2
Pam	2
nurse	2
Iowa	2
planning	2
characters	2
Alan	2
Sara	2
publisher	2
successfully	2
places	2
drunken	2
Violet	2
dances	2
Fontaine	2
Lizzie	2
Isabella	2
Buster	2
Wes	2
Hotel	2
promise	2
except	2
admit	2
reading	2
Greta	2
Jonah	2
Shelley	2
crashes	2
speech	2
acceptance	2
gradually	2
students	2
overhears	2
Wai	2
Tung	2
late	2
minded	2
serious	2
relationships	2
worse	2
Granger	2
Prinze	2
dreams	2
Cole	2
photographer	2
Magazine	2
action	2
Jackie	2
prostitute	2
Harold	2
imagine	2
Rita	2
interested	2
dismay	2
Lita	2
d	2
lovely	2
Countess	2
deserted	2
resort	2
Duffy	2
reconciles	2
problem	2
occurs	2
Las	2
Vegas	2
right	2
proves	2
Katey	2
Murphy	2
Noonan	2
swears	2
America	2
policeman	2
dies	2
British	2
hires	2
personal	2
Crawl	2
zoo	2
knowing	2
responds	2
assassin	2
lawyers	2
taxi	2
information	2
rescue	2
cross	2
Diaz	2
infiltrate	2
Brian	2
therefore	2
failed	2
organization	2
art	2
Karan	2
With	2
invitation	2
throws	2
scandal	2
judge	2
either	2
lets	2
Tyler	2
Perry	2
owned	2
dressing	2
seeks	2
matter	2
wearing	2
hers	2
topless	2
Veronica	2
Jimmy	2
rents	2
hall	2
watched	2
dancing	2
rebuffs	2
cruel	2
quarrel	2
captain	2
falling	2
Vronsky	2
grows	2
flight	2
Helena	2
released	2
Rick	2
neither	2
Valeria	2
Sal	2
Crosby	2
Gary	2
concert	2
hoping	2
meant	2
salvage	2
Mr	2
Katherine	2
dismisses	2
tracks	2
Priya	2
contents	2
material	2
Marty	2
Hardy	2
Daphne	2
uncle	2
afford	2
tender	2
final	2
Parisian	2
Marion	2
performed	2
wait	2
teaches	2
patty	2
cake	2
employs	2
cleaning	2
unsettled	2
Sean	2
vote	2
candidate	2
exactly	2
sense	2
loneliness	2
connection	2
Alison	2
maintain	2
beau	2
aware	2
re	2
nice	2
conflicted	2
